SNO,Author,Title,Year,Department,Course,
1837,"DUBEY, GOPAL K.",FUNDAMENTALS OF ELECTRICAL DRIVES /,2008,CSE,CSE,
941,"GUPTA, S.C.",FUNDAMENTALS OF MATHEMATICAL STATISTICS /,2008,CSE,CSE,
5031,"RAM, BADRI",FUNDAMENTALS OF MICROPROCESSORS AND MICROCOMPUTERS /,2004,CSE,CSE,
2145,"HALLIDAY, DAVID",FUNDAMENTALS OF PHYSICS /,2007,CSE,CSE,
962,"ELLIS, HOROWITZ",FUNDAMENTALS OF PROGRAMMING LANGUAGES /,2005,CSE,CSE,
43419,"LAMBERT,  KENNETH A.",FUNDAMENTALS OF PYTHON /,2012,CSE,DCIV,
2775,"SCHILLING, ROBERT J.",FUNDAMENTALS OF ROBOTICS ANALYSIS AND CONTROL /,2001,CSE,CSE,
893,"CHEZZI, CARL O.",FUNDAMENTALS OF SOFTWARE ENGINEERING /,2011,CSE,CSE,
837,"GHEZZI, CARLO",FUNDAMENTALS OF SOFTWARE ENGINEERING /,2001,CSE,CSE,
3684,"MALL, RAJIB",FUNDAMENTALS OF SOFTWARE ENGINEERING /,2000,CSE,CSE,
2701,"AGGARWAL, B.M.",FUNDAMENTALS OF STATISTICS /,2008,CSE,CSE,
6491,"RAMAN, LAKSHMI G.",FUNDAMENTALS OF TELECOMMUNICATIONS NETWORK MANAGEMENT /,2007,CSE,CSE,
2696,"ELLIS, HOROWITZ",FUNDMANTELS OF DATA STRCTURES IN C++ /,2008,CSE,CSE,
2226,"KLIR, GEORGE J.",FUZZY SETS UNCERTAINING AND INFORMATION :,2008,CSE,CSE,
5184,"ESWARAN, EKNATH",GANDHI THE MAN /,1997,CSE,CSE,
45593,,GATE 2025,2025,CSE,GEN,
45710,GATE FORUM,GATE COMPUTER SCIENCE & INFORMATION TECHNOLOGY,2017,CSE,AID,
38744,G.K. PUBLICATIONS,GATE COMPUTER SCIENCE & INFORMATION TECHNOLOGY /,2016,CSE,DCIV,
4435,"PUBLISHERS, G.K.",GATE COMPUTER SCIENCE /,2005,CSE,CSE,
4445,"HONDA, A.",GATE CONFORMING TO THE LATEST PATTERN CSE /,2006,CSE,CSE,
4447,"HONDA, M.",GATE CONFORMING TO THE LATEST PATTERN ECE /,2008,CSE,CSE,
4452,"HONDA, M.",GATE CONFORMING TO THE LATEST PATTERN EE /,2006,CSE,CSE,
38745,G.K. PUBLICATIONS,GATE ELECTRICAL ENGINEERING /,2016,CSE,DCIV,
4430,"MITTAL, P.",GATE PAPERS ELECTRICAL ENGINEERING /,2008,CSE,CSE,
45707,GATE FORUM,GATE QUESTION BANK & EXPLANATIONS-10,2017,CSE,CAI,
5186,"VAKIL, ARUN C.",GATEWAY TO AMERICA /,2007,CSE,CSE,
4242,"WADHWA, C.L.","GENERATION, DISTRIBUTION AND UTILIZATION OF ELECTRICAL ENERGY / ",2007,CSE,CSE,
5487,"GOLDBERG, DAVID E.",GENETIC ALGORITHMS /,2002,CSE,CSE,
6382,"PATTABIRAM, B.V.",GENIUS /,2005,CSE,CSE,
5103,"SARIKAYA, BHEET",GEOGRAPHICS LOCATION IN THE INTERNET /,2006,CSE,MBA,
6659,"SINGH, SURENDER",GEOGRAPHY /,2002,CSE,ECE,
5141,"SLATER, ROBERT",GET BETTER OR GET BEATEN /,2010,CSE,CSE,
5129,"JONES, ROGER",GETTING A JOB ABROAD /,2002,CSE,CSE,
43449,"MARKIEWICZ,  TOM",GETTING STARTED WITH ARTIFICIAL INTELLIGENCE /,2019,CSE,ME,
6643,"PRATAP, RUDRA",GETTING STARTED WITH MATLAB 7 /,2016,CSE,DCSE,
45787,CUNO PFISTER,GETTING STARTED WITH THE INTERNET OF THINGS,2021,CSE,CAI,
5333,"KURSON, KEN",GIULIANI LEADERSHIP /,1993,CSE,CSE,
5150,"PARASURAMAN, SUNITA",GOING TO AMERICA /,2002,CSE,CSE,
6380,"PATTABIRAM, B.V.",GOOD PARENTS+BETTER TEACHERS /,2005,CSE,CSE,
6379,"PATTABIRAM, B.V.",GOOD TEACHER /,2005,CSE,CSE,
2079,"HARARY, FRANK",GRAPH THEORY /,2005,CSE,CSE,
4184,"DEO, NARSINGH",GRAPH THEORY WITH APPLICATIONS TO ENGINEERING AND COMPUTER SCIENCE /,2000,CSE,CSE,
43463,"HILFIGER,  JOHN JAY",GRAPHING DATA WITH R /,2018,CSE,ME,
6662,KAPLAN,GRE EXAM PREMIER PROGRAM /,2000,CSE,ECE,
6723,"CLIVE, BEN",GREAT PICTURE PUZLES /,2002,CSE,GENERAL,
6707,"ANAND, MULK RAJ",GREATEST SHORT STORIES /,2004,CSE,EEE,
6709,"KINGER, N.",GROUP DISCUSSION /,2006,CSE,GENERAL,
5848,"ERIKSSON, ERIK HANS",GSM VS CDMA DIS-95 /,1996,CSE,CSE,
43430,"BOTHRA,  HARSHA",HACKING /,2022,CSE,ME,
6100,"BARBARELLO, JAMES",HAND BOOK OF PARALLEL PORT DESIGN /,2003,CSE,CSE,
6166,"LESTER, MARK",HANDBOOK OF ENGLISH GRAMMAR AND USAGE /,2004,CSE,CSE,
6526,"POORNACHANDRA RAO, S.",HANDBOOK OF EXPERIMENTS IN ELECTRONICS AND COMMUNICATION ENGINEERING /,2015,CSE,CSE,
5151,HARVARD BUSINESS SCHOOL,HARVARD BUSINESS REVIEW ON LEADERSHIP /,2007,CSE,CSE,
5152,HARVARD BUSINESS SCHOOL,HARVARD BUSINESS REVIEW ON MANAGING PEOPLE /,2007,CSE,CSE,
5193,"KOPMEYER, M.R.",HERES HELP /,2007,CSE,CSE,
5473,"KIMBARK, EDWARD WILSON",HIGH SPEED NETWORKS AND INTERNETS :,2002,CSE,CSE,
3410,"WADHWA, C.L.",HIGH VOLTAGE ENGINEERING /,2008,CSE,CSE,
4663,"KUFFEL, E.",HIGH VOLTAGE ENGINEERING FUNDAMENTALS /,2008,CSE,CSE,
2780,"DASS, C.",HIGHER ENGINEERING MATHEMATICS /,1998,CSE,CSE,
4540,"GAGLIRDI, ROBERT",HOME SECURITY PROJECTS /,2007,CSE,CSE,
5875,"BAYLIN, FRANK",HOME STELLITE TV INSTALLATION AND TROUBLESHOOTING MANUAL /,1999,CSE,CSE,
43464,"O'REILLY,  TIM",HOUR DATA SCIENCE US TRANSFORMING HEALTH CARE /,2019,CSE,ME,
5189,"BRENNAN, MOYA",HOW TO APPLY TO AMERICAN COLLEGES AND UNIVERSITIES /,2002,CSE,CSE,
5187,"SHPIGLER, DEBRA R.",HOW TO BECOME A U.S.CITIZEN /,2008,CSE,CSE,
6691,"WOODALL, MARIAN K.",HOW TO COMMUNICATE UNDER PRESSURE /,2005,CSE,H&S,
1650,"LORAYNE, HARRY",HOW TO DEVELOP A SUPER POWER MEMORY /,1996,CSE,CSE,
5225,"CARNEGIE, DALE",HOW TO DEVELOP SELF CONFIDENCE OR INFLUENCE PEOPLE BY PUBLIC SPEAKING :,2003,CSE,CSE,
5218,"CARNEGIE, DALE",HOW TO ENJOY YOUR LIFE AND YOUR JOB /,,CSE,CSE,
6702,"BONO, EDWARD DE",HOW TO HAVE A BEAUTIFUL MIND /,2007,CSE,H&S,
5231,"TIMM, PAUL R.",HOW TO HOLD SUCCESSFUL MEETING /,2007,CSE,CSE,
5183,"HUMPHRIES, JOHN",HOW TO MANAGE PEOPLE WORK /,2008,CSE,CSE,
5111,"PARKINSON, MARK",HOW TO MASTER PSYCHOMETRIC TESTS /,2007,CSE,CSE,
6700,"SARGENT, ANDREW",HOW TO MOTIVATE PEOPLE /,2007,CSE,H&S,
5117,"BARRETT, JIM",HOW TO PASS ADVANCED APTITUDE TESTS /,2002,CSE,CSE,
5159,"BRYON, MIKE",HOW TO PASS ADVANCED NUMERACY TESTS /,2008,CSE,CSE,
5160,"TOLLEY, HARRY",HOW TO PASS NUMERACY TESTS /,2005,CSE,CSE,
5128,"JOJJOKA, SAMAL",HOW TO PASS PROFESSIONAL LEVEL PSYEHOMETRIC TESTS /,2004,CSE,CSE,
4996,"MUNEER, MUHAMED",HOW TO PREPARE FOR THE CAT /,2008,CSE,CSE,
5359,DEITEL & DEITEL,HOW TO PROGRAM JAVA /,1999,CSE,CSE,
5229,"CARNEGIE, DALE",HOW TO STOP WORRYING AND START LIVING :,2006,CSE,CSE,
5284,"BAUGH, SUE L.",HOW TO WRITE FIRST-CLASS LETTERS /,2004,CSE,CSE,
6711,"MANDAL, S.K.",HOW TOSUCCEED IN GROUP DISCUSSIONS AND PERSONAL INTERVIEWS /,2004,CSE,H&S,
5324,"KOPMEYER, M.R.",HOW YOU CAN GET RICHER ... QUICKER! /,1985,CSE,CSE,
5728,"CARROLL, JOHN M.",HUMAN COMPUTER INTERACTION /,2007,CSE,CSE,
5657,"DESSLER, GARY",HUMAN RESOURCE MANAGEMENT /,2006,CSE,CSE,
3740,"MODI, P.N.",HYDRALICS AND FLUID MECHANICS /,2003,CSE,CSE,
1997,"BANGA, T.R.",HYDRAULIC MACHINES /,2008,CSE,MBA,
3809,"BANGA, T.R.",HYDRAULIC MACHINES :,2006,CSE,CSE,
5212,"HARRES, THOMAS A.",I AM OK YOURE OK /,2006,CSE,CSE,
5330,"BRISTOW, BOVEY DARREL",I MOVED YOUR CHEESE :,1993,CSE,CSE,
4597,"LEON, ALEXIS",IBM MAINFRAME HANDBOOK /,2007,CSE,CSE,
5380,"GOVINDARAJALU, B.",IBM PC AND CLONES /,2000,CSE,CSE,
1049,"PETER, ABEL",IBM PC ASSEMBLY LANGUAGE AND PROGRAMMING /,2006,CSE,CSE,
3939,"ABEL, PETER",IBM PC ASSEMBLY LANGUAGES AND PROGRAMMING /,2006,CSE,CSE,
4541,"KAMICHIK, STEPHEN",IC DESIGN PROJECTS /,2005,CSE,CSE,
4516,"LOVINE, JOHN",IC PROJECTS FUN FOR THE ELECTRONICS HOBBYIST TECHNICIAN /,2005,CSE,CSE,
5870,SIEMENS,ICS FOR DIE UNTERHALTUNGSELEKTRONIK /,1999,CSE,CSE,
6705,"EINSTEIN,.ALBERT",IDEAS AND OPINIONS /,2009,CSE,MTCSE_SE,
6715,"BHAGAT, CHETAN",IELTS PREPARATION COURSE AND PRACTICE TEST /,2001,CSE,EEE,
4352,"KALAM, A.P.J. ABDUL",IGNITED MINDS /,2004,CSE,MCA,
5321,"KALAM, ABDUL, A.P.J.",IGNITED MINDS :,1984,CSE,CSE,
6665,"CHOPRA, RAVI",IIM ENTRANCE TEST CAT /,2003,CSE,ECE,
4112,"SURESH, R.",IInd YEAR Ist SENSETER B.TECH ALL IN ONE /,2002,CSE,CSE,
4602,"TALWAR, M.L.",ILLUSTRATED DICTIONARY OF INFORMATION TECHNOLOGY /,2005,CSE,CSE,
4603,"MADAAN, ANIL",ILLUSTRATED WORLD MULTIMEDIA /,2005,CSE,CSE,
4594,"ANIL, MADAAN",ILLUSTRATED WORLD OF COMPUTERS /,1999,CSE,CSE,
4568,"BENNET, T.R.",ILLUSTRATED WORLD OF DESKTOP PUBLISHING /,2007,CSE,CSE,
4593,"MADAAN, ANIL",ILLUSTRATED WORLD OF INTERNET /,2000,CSE,CSE,
1655,"JOHNSON, NEIL",IMPRORE YOUR WORD POWER /,2001,CSE,CSE,
6718,"BROFMAN, MARTIN",IMPROVE YOUR VISION /,2006,CSE,H&S,
5167,"BLISHAK, SYLVIA ANN",IMPROVING YOUR COMPANY IMAGE /,2008,CSE,CSE,
5203,"PETERS, THOMAS J.",IN SEARCH OF EXCELLENCE /,2000,CSE,CSE,
5320,"KALAM, ABDUL, A.P.J.",INDIA 2020 :,1981,CSE,CSE,
6685,"DAS BABU, DURGA",INDIA FROM CURZON TO NEHRU AND AFTER /,2000,CSE,GENERAL,
4426,GENERAL,INDIAN SCIENCE ABSTRACTS /,2007,CSE,CSE,
3788,"MITHAL, G.K.",INDUSTRIAL ELECTRONICS /,2002,CSE,CSE,
1735,"MITTLE, V.N.",INDUSTRIAL ELECTRONICS /,2002,CSE,CSE,
3669,"PAUL, BISWANTH",INDUSTRIAL ELECTRONICS AND CONTROL /,2007,CSE,CSE,
2168,"KUMAR, B.",INDUSTRIAL ENGINEERING /,2007,CSE,CSE,
3556,"KHANNA, O.P.",INDUSTRIAL ENGINEERING AND MANAGEMENT /,2004,CSE,CSE,
5273,"JOHNSON, ROU",INFLUENCING PEOPLE /,2011,CSE,CSE,
1867,"MURDICK, ROBERT G.",INFORMATION SYSTEM FOR MODERN MANAGEMENT /,2009,CSE,CSE,
43512,"GODBOLE,  NINA",INFORMATION SYSTEMS SECURITY(CD) /,2015,CSE,DCIV,
1251,PHILIPPAKIS,INFORMATION SYSTEMS THROUGH COBOL /,2009,CSE,CSE,
4506,"RADHA KRISHNA, P.",INFORMATION TECHNOLOGY & NUMERICAL METHODS /,2004,CSE,CSE,
6226,"CURTIN, DENNIS P.",INFORMATION TECHNOLOGY /,2005,CSE,CSE,
4586,"EVANS, P.",INFORMATION TECHNOLOGY FOR EVERYBODY /,2000,CSE,CSE,
4587,"HEATHCODE, P.M.",INFORMATION TECHNOLOGY FOR EVERYBODY /,2008,CSE,CSE,
4889,"TURBAN, EFRAIM",INFORMATION TECHNOLOGY FOR MANAGEMENT /,1981,CSE,MTECE_VLSI,
4573,"JAISWAL, S.",INFORMATION TECHNOLOGY TODAY /,2007,CSE,CSE,
5043,"NORTON, PETER",INSIDE THE PC /,2001,CSE,CSE,
6660,KAPLAN,INSIDE THE TOEFL IBT /,2002,CSE,ECE,
5114,"ADAIR, JOHN",INSPIRING LEADERSHIP /,2002,CSE,CSE,
5140,"CLEGG, BRAIN",INSTANT INTERVIEWING /,2000,CSE,CSE,
5125,"CLEGG, BRAIN",INSTANT TEAM WORK /,2010,CSE,CSE,
4533,"LEWIS, NORMAN",INSTRANT WORD POWER /,2002,CSE,CSE,
5070,"WILLARD, HOBART H.",INSTRUMENTAL METHODS OF ANALYSIS /,2007,CSE,CSE,
1484,"RANGAN, C.S.",INSTRUMENTATION DESIGN AND SYSTEMS /,1999,CSE,CSE,
4471,"BOTKAR, K.R.",INTEGRATED CIRCUITS /,2008,CSE,CSE,
4535,"DEBOO, GORDON J.",INTEGRATED CIRCUITS AND SEMICONDUCTOR DEVICES: THE /,2003,CSE,CSE,
1226,"MILLMAN, JACOB",INTEGRATED ELECTRONICS /,2007,CSE,CSE,
4768,"BREY, BARRY B.",INTEL MICROPROPROCESSORS /,2007,CSE,CSE,
2204,"SUBBA RAO, K.",INTERFACING THROUGH MICRO PORCESSORS /,2004,CSE,CSE,
5912,"KURVE, C.K.",INTERFACING THROUGH MICROPROCESSORS /,2000,CSE,CSE,
1681,"MURPHY, RAYMOND",INTERMEDIATE ENGLISH GRAMMAR /,2008,CSE,CSE,
6163,"NAYLOR, HELEN",INTERMEDIATE ENGLISH GRAMMAR /,2004,CSE,CSE,
6675,"BROWN, IVOR",INTERNATIONAL THESAURUS /,2006,CSE,ECE,
4704,"KRISHNA MURHTY, R.",INTERNET AND JAVA PROGRAMMING /,2005,CSE,CSE,
4566,"ARORA, PAWAN",INTERNET ESSENTIALS /,2006,CSE,CSE,
45772,ARSHDEEP BANGA,INTERNET OF THINGS,2024,CSE,CAI,
45770,RAJKAMAL,INTERNET OF THINGS,2023,CSE,CAI,
2419,"SIMPSON, ALAN",INTERNET TO GO /,1998,CSE,CSE,
4670,"BANERJEE, RAHUL",INTERNET WOKING TECHNOLOGIES /,2001,CSE,CSE,
4780,"COMER, DOUGLASS E.",INTERNET WORKING WITH TCP / IP - 1 /,2007,CSE,CSE,
4790,"COMER, DOUGLASS E.",INTERNET WORKING WITH TCP / IP - 3 /,2001,CSE,CSE,
4890,"COMER, DOUGLASS E.",INTERNET WORKING WITH TCP / IP /,2005,CSE,CSE,
5491,DIETEL. H.M.,INTERNET WORLD WIDE WEB :,2003,CSE,CSE,
5124,"KEATS, DAPHNE M.",INTERVIEWING /,2007,CSE,CSE,
5148,"THOMPSON, CAROLYN B.",INTERVIEWING TECHNIQUES FOR MANAGERS /,2000,CSE,CSE,
45713,CIELEN  DAVY,INTRODUCING DATA SCIENCE,2024,CSE,CSD,
4361,"GREWALT, S.",INTRODUCTIN TO ACCOUNTANCY /,2004,CSE,CSE,
43531,"CICLEN,  DAVY",INTRODUCTING DATA SCIENCE /,2022,CSE,DMEC,
43501,"JOSE,  JEEVA",INTRODUCTION COMPUTING & PROBLEM SOLVING WITH PYTHON MACHINE LEARNING /,2022,CSE,DCIV,
4814,"MANI NAIDU, S.",INTRODUCTION ELECTRICAL ENGINEERING /,2006,CSE,CSE,
2037,"PATTERSON, DAN W.",INTRODUCTION TO A.I AND EXPERT SYSTEMS /,2008,CSE,CSE,
2488,"CORMEN, THOMAS H.",INTRODUCTION TO ALGORITHMS /,2002,CSE,CSE,
1474,"ZURADA, JACEK M.",INTRODUCTION TO ARTIFICAL NEURAL SYSTEMS /,1997,CSE,CSE,
1548,"CHARNIAK, EUGENE",INTRODUCTION TO ARTIFICIAL INTELLIGENCE /,1994,CSE,CSE,
43532,"PATTERSON,  DAN W.",INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS /,2022,CSE,ME,
4582,"ROBERTS, J.J.",INTRODUCTION TO AUTOCAD 2000 /,,CSE,CSE,
1044,"HOPCROFT, JOHN E.","INTRODUCTION TO AUTOMATA THEORY,LANGUAGES AND COMPUTATION / ",1998,CSE,CSE,
38772,"KANDAR,  SHYAMALENDU","INTRODUCTION TO AUTOMATA THEORY,LANGUAGES AND COMPUTATION / ",2013,CSE,DCIV,
5596,"UYEMURA, JOHN P.",INTRODUCTION TO CIRCUITS AND SYSTEMS /,2005,CSE,CSE,
6456,"HORLDE, STONE S.",INTRODUCTION TO COMPUTER ARCHITECTURE /,2006,CSE,CSE,
5431,"KRISHNAMURTHY, N.",INTRODUCTION TO COMPUTER GRAPHICS /,2001,CSE,CSE,
4569,"TREMBLY, J.P.",INTRODUCTION TO COMPUTER SCIENCE /,2008,CSE,CSE,
43511,"BISHOP,  MATT",INTRODUCTION TO COMPUTER SECURITY /,2006,CSE,DCIV,
1766,"LEON, ALEXIS",INTRODUCTION TO COMPUTERS /,2006,CSE,CSE,
4461,"MURTHY, D.S.R.",INTRODUCTION TO COMPUTERS /,2008,CSE,CSE,
4562,"NORTON, PETER",INTRODUCTION TO COMPUTERS /,2004,CSE,CSE,
1744,"NORTONS, PETER",INTRODUCTION TO COMPUTERS /,1997,CSE,CSE,
4585,"RADHA KRISHNA, P.",INTRODUCTION TO COMPUTERS /,2001,CSE,CSE,
3435,"XAVIER, C.",INTRODUCTION TO COMPUTERS AND BASIC PROGRAMMING /,2002,CSE,CSE,
4561,"SHEPERD, ROBERT D.",INTRODUCTION TO COMPUTERS AND TECHNOLOGY /,2007,CSE,CSE,
4726,"LEON, ALEXIS",INTRODUCTION TO COMPUTERS WITH MS-OFFICE 2000 /,2008,CSE,MTECE_VLSI,
43434,"SCHINDE,  ANAND",INTRODUCTION TO CYBER SECURITY /,2021,CSE,ME,
1889,"LARRY, HUGHES",INTRODUCTION TO DATA COMMUNICATIONS /,2005,CSE,CSE,
43540,"ALLA,  PREMA",INTRODUCTION TO DATA SCIENCE /,2018,CSE,DMEC,
43427,"CICLEN,  DAVY",INTRODUCTION TO DATA SCIENCE /,2016,CSE,ME,
4584,"SINGH, BHAGAT",INTRODUCTION TO DATA STRUCTURES /,2006,CSE,CSE,
4578,"THOMAS, L.N.",INTRODUCTION TO DATA STRUCTURES WITH PASCAL /,2003,CSE,CSE,
39480,"TAN,  PANG-NING",INTRODUCTION TO DATAMINING /,2015,CSE,CIV,
2182,"MILOS, ERCEGOVAC",INTRODUCTION TO DIGITAL SYSTEMS /,2000,CSE,CSE,
2245,"JACKSON, PETER",INTRODUCTION TO EXPERT SYSTEMS /,2002,CSE,CSE,
41036,"TIRUPATHI,  R.",INTRODUCTION TO FINITE ELEMENTS IN ENGINEERING /,2017,CSE,DEEE,
6142,ITL EDUCTION,INTRODUCTION TO INFORMATION TECHONOLOGY /,2004,CSE,CSE,
4202,"MARTIN, JOHN C.",INTRODUCTION TO LANGUAGES AND THE THEORY OF COMPUTATION /,2002,CSE,CSE,
6648,"IRVING, COPI M.",INTRODUCTION TO LOGIC /,2016,CSE,DCSE,
45790,ETHEM ALPAYDM,INTRODUCTION TO MACHINE LEARNING,2020,CSE,CSC,
43444,"MULLER,  ANDREAS C.",INTRODUCTION TO MACHINE LEARNING WITH PYTHON /,2021,CSE,ME,
1024,"MATHUR, ADITYA P.",INTRODUCTION TO MICROPROCESSORS /,2000,CSE,CSE,
42000,"RAJBHAR,  MUKH RAM",INTRODUCTION TO MICROWAVE ENGENEERING /,2018,CSE,DECE,
2475,"GILLETT, BIILLY E.",INTRODUCTION TO OPERATIONS RESEARCH /,2006,CSE,CSE,
45623,SAMBASIVARAO K V,INTRODUCTION TO PROGRAMMING,2024,CSE,CAI,
4929,"NINO, JAIME",INTRODUCTION TO PROGRAMMING AND OBJECT ORIENTED DESIGN USING JAVA /,2001,CSE,CSE,
45660,GOWRISHANKAR S,INTRODUCTION TO PYTHON PROGRAMMING,2023,CSE,CSD,
45662,DANIEL LIANG Y,INTRODUCTION TO PYTHON PROGRAMMING AND DATA STRUCTURES,2024,CSE,CSD,
1982,"SKOLINK, MERRIL I.",INTRODUCTION TO RADAR SYSTEMS /,2003,CSE,CSE,
2539,"CRAIG, JOHN J.",INTRODUCTION TO ROBOTICS /,2012,CSE,CSE,
5343,"NIKU, SAEED B.",INTRODUCTION TO ROBOTICS /,1997,CSE,CSE,
3114,"TYAGI, M.S.",INTRODUCTION TO SEMICONDUCTOR MATERIALS AND DEVICES /,2006,CSE,CSE,
3889,"AZAROFF, LEONID V.",INTRODUCTION TO SOLIDS /,2003,CSE,CSE,
4680,"HAWRYSZKIEWYCZ, IGOR",INTRODUCTION TO SYSTEM ANALYSIS AND DESIGN /,2007,CSE,CSE,
3844,"SONDE, B.S.",INTRODUCTION TO SYSTEM DESIGN USING INTEGRATED CIRCUITS /,2007,CSE,CSE,
2374,"COLE, MARION",INTRODUCTION TO TELECOMMUNICATIONS /,2008,CSE,CSE,
4292,"TOWNSEND, CARL",INTRODUCTION TO TURBO PROLOG /,2005,CSE,CSE,
4800,"MEAD, CARVER",INTRODUCTION TO VLSI SYSTEMS /,1998,CSE,CSE,
5153,"WEST, C.",INVESTMENT APPRAISAL /,2007,CSE,CSE,
5618,"KIMBARK, EDWARD WILSON",ISDN AND BROADBAND ISDN WITH FRAME RELAYAND ATM /,2005,CSE,CSE,
5366,AICTE,ISTE HAND BOOK 2003-04 :,1999,CSE,CSE,
5198,"GOLDRAIT, ELIYAHU M.",IT'S NOT LUCK /,2006,CSE,CSE,
5220,"WELCH, JACK",JACK STRAIGHT FROM THE GUT /,2000,CSE,CSE,
5145,"SLATER, ROBERT",JACK WELCH AND THE GE WAY /,,CSE,CSE,
4968,DEITEL & DEITEL,JAVA HOW TO PROGRAM /,2007,CSE,CSE,
39253,"NAGENDRA REDDY,  N.",JAVA PROGRAMMING: /,2017,CSE,CSE,
6587,"POWELL, THOMAS",JAVA SCRIPT /,2009,CSE,CSE,
6362,"JNTU, KAKINADA",JNTU BIBLE : ALL IN ONE /,2005,CSE,CSE,
6329,"JNTU, KAKINADA",JNTU BIBLE ALL IN ONE /,2005,CSE,CSE,
45587,SAMANTA DEBASIS,JOY WITH JAVA FUNDAMENTALS OF OBJECT ORIENTED PROGRAMMING,2024,CSE,CSM,
5465,"HANNA, PHIL",JSP 2.0 :,2002,CSE,CSE,
3707,"SACHITRA, G.",KNOW YOUR TECHNICAL ENGLISH /,2006,CSE,CSE,
6174,"DOFF, ADRAIN",LANGUAGE BEGINNERS CLASSROOM BOOK /,2004,CSE,CSE,
6175,"DOFF, ADRAIN",LANGUAGE BEGINNERS PRE INTERMEDIATE CLASS ROOM BOOK /,2004,CSE,CSE,
6170,"DOFF, ADRAIN",LANGUAGE IN USE CLASSROOM BOOK /,2004,CSE,CSE,
6176,"DOFF, ADRAIN",LANGUAGE IN USE INTERMEDIATE SILF STUDY WORK BOOOK WITH ANSWER KEY /,2004,CSE,CSE,
6172,"DOFF, ADRAIN",LANGUAGE IN USE SELF STUDY WORK BOOK /,2004,CSE,CSE,
6159,CAMBRIDGE,LANGUAGE IN USE UPPER INTERMEDIATE /,2004,CSE,CSE,
4406,"SARAH, P.",LASERS AND OPTICAL FIBRE COMMUNICATIONS /,2006,CSE,CSE,
5233,"BLANCHARD, KENNETH",LEADERSHIP AND ONE MINUTE MANAGER /,2007,CSE,MBA,
5304,"ALLIO, ROBERT J.",LEADERSHIP MYTHS AND REALITIES /,2012,CSE,CSE,
5115,"ROSSITER, DIANE E.",LEADERSHIP SKILLS /,1995,CSE,CSE,
5300,"CAROSELLI, MARLENE",LEADERSHIP SKILLS FOR MANAGERS /,2005,CSE,CSE,
2593,ACKERMANN,LEARBIBG TO USE THE INTERNET /,2001,CSE,CSE,
43450,"PATEL,  LONIT",LEARN AI /,2020,CSE,ME,
4624,"ABOLOROUS, A. SAM",LEARN C IN THREE DAYS /,2000,CSE,CSE,
5107,"MARK, DAVE",LEARN C UNDER WINDOWS 95/NT /,1998,CSE,CSE,
5851,"WONG, M.W.",LEARN FOXPRO 2.5 FOR WINDOWS IN DAY /,1996,CSE,CSE,
2303,"BUSBY, MCHAEL",LEARN MS-OFFICE 2000 /,2006,CSE,CSE,
6720,"CLIVE, BERNARD J.",LEARN VEDIC MATHEMATICS /,2000,CSE,GENERAL,
3711,"RAMA KRISHNA RAO, A.",LEARNING ENGLISH A COMMUNICATIVE APPROACH /,2000,CSE,CSE,
43465,"BARLOUS,  MIKE",LEATINING TO LOVE DATA SCIENCE /,2019,CSE,ME,
5965,"FEYNMAN, RICHARD P.",LECTURES ON PHYSICS - 1 /,2001,CSE,CSE,
5717,"FEYNMAN, RICHARD P.",LECTURES ON PHYSICS - 2 /,2007,CSE,CSE,
5718,"FEYNMAN, RICHARD P.",LECTURES ON PHYSICS - 3 /,2007,CSE,CSE,
3714,"STANNARD, ALLEN W.",LERING ENGLISH STRUCTURE /,2007,CSE,MBA,
2414,"KANETKAR, YASHAVANT P.",LET US C++ /,2009,CSE,CSE,
5884,"NEWMAN, BERNARD",LETS VISIT VIETNAM /,2000,CSE,CSE,
43534,"MAXTAG,  MARK",LIFE 3.0 /,2017,CSE,DH&S,
4480,"HUSSAIN, SYED IMTIYAZ",LINEAR AND DIGITAL IC APPLICATIONS /,1992,CSE,CSE,
6634,"YOGANARASIMHAN, B.N.",LINEAR AND DIGITAL IC APPLICATIONS /,1999,CSE,DCSE,
5862,"SIGNETICS, CROP",LINEAR DATA AND APPLICATIONS MANUAL - 2 /,1998,CSE,CSE,
5872,HP,LINEAR DATA MANUAL - 3 :,1999,CSE,CSE,
2534,"ROY, CHOUDHURY D.",LINEAR INTEGRATED CIRCUITS /,2007,CSE,CSE,
1894,"HADLEY, G.",LINEAR PROGRAMMING /,2008,CSE,CSE,
5765,"CHEN, CHI-TSONG",LINEAR SYSTEM THEORY AND DESIGN /,2008,CSE,CSE,
1335,"LATHI, B.P.",LINEAR SYSTEMS AND SIGNALS /,2004,CSE,CSE,
6653,"FORUM, LINGUA",LINGUA ESSAYS FOR TOEFL/IELTS /,1996,CSE,ECE,
6181,"HANCODM, MARK",LINGUA TOFEL CBT THE SUPER GUIDE /,2005,CSE,CSE,
1862,"WINSOTN, PATRICK H.",LISP /,2008,CSE,CSE,
5311,"KHERA, SHIV",LIVING WITH HONOUR :,2011,CSE,CSE,
5501,"KEISER, GERD",LOCAL AREA NETWORKS /,2003,CSE,CSE,
2106,"BISWAS, NRIPENDRA N.",LOGIC DESIGN THEORY /,2007,CSE,CSE,
